"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 05 15:21:31 TRT 2024","Fri Apr 05 15:21:38 TRT 2024","6618","","User Tests","","User Tests","Password Alanı Minimum Karakter Kontrolü","Password Alanı Minimum Karakter Kontrolü",""
"failed","Fri Apr 05 15:20:58 TRT 2024","Fri Apr 05 15:21:11 TRT 2024","13214","","User Tests","","User Tests","Username Alanı Maksimum Karakter Kontrolü","Username Alanı Maksimum Karakter Kontrolü",""
"passed","Fri Apr 05 15:20:52 TRT 2024","Fri Apr 05 15:20:58 TRT 2024","6237","","User Tests","","User Tests","Başarılı Kullanıcı Girişi Kontrolü","Başarılı Kullanıcı Girişi Kontrolü",""
"failed","Fri Apr 05 15:21:50 TRT 2024","Fri Apr 05 15:21:57 TRT 2024","6711","","User Tests","","User Tests","Başarısız Kullanıcı Girişi Kontrolü Password","Başarısız Kullanıcı Girişi Kontrolü Password",""
"failed","Fri Apr 05 15:21:43 TRT 2024","Fri Apr 05 15:21:50 TRT 2024","6789","","User Tests","","User Tests","Başarısız Kullanıcı Girişi Kontrolü Username","Başarısız Kullanıcı Girişi Kontrolü Username",""
"failed","Fri Apr 05 15:21:24 TRT 2024","Fri Apr 05 15:21:31 TRT 2024","6464","","User Tests","","User Tests","Username Alanı Minimum Karakter Kontrolü","Username Alanı Minimum Karakter Kontrolü",""
"passed","Fri Apr 05 15:21:42 TRT 2024","Fri Apr 05 15:21:43 TRT 2024","1531","","User Tests","","User Tests","Username Alanları Zorunluluk Kontrolü","Username Alanları Zorunluluk Kontrolü",""
"passed","Fri Apr 05 15:21:40 TRT 2024","Fri Apr 05 15:21:42 TRT 2024","2073","","User Tests","","User Tests","Password Alanları Zorunluluk Kontrolü","Password Alanları Zorunluluk Kontrolü",""
"failed","Fri Apr 05 15:20:38 TRT 2024","Fri Apr 05 15:20:52 TRT 2024","13991","","User Tests","","User Tests","Başarısız Kullanıcı Girişi Kontrolü","Başarısız Kullanıcı Girişi Kontrolü",""
"passed","Fri Apr 05 15:21:38 TRT 2024","Fri Apr 05 15:21:40 TRT 2024","1991","","User Tests","","User Tests","Password ve Username Alanları Zorunluluk Kontrolü","Password ve Username Alanları Zorunluluk Kontrolü",""
"failed","Fri Apr 05 15:21:11 TRT 2024","Fri Apr 05 15:21:24 TRT 2024","13036","","User Tests","","User Tests","Password Alanı Maksimum Karakter Kontrolü","Password Alanı Maksimum Karakter Kontrolü",""
